place_id,name,latitude,longitude,regular,premium,diesel
2098,"PETROMAX, S.A. DE C.V.",19.63609,-99.10677,22.29,,
2099,"GRUPO OCTANO, S.A. DE C.V.",21.47011,-104.8489,23.89,,24.99
2100,"PETROMAX, S.A. DE C.V.",25.73217,-100.2104,24.09,25.69,
2101,"CRUCERO LAS GOLONDRINAS,SA DE CV",19.14014,-103.7721,22.5,,
2102,Becktrop Operadora SA de CV,32.49127,-116.953,22.39,,
2103,"PETROMAX, S.A. DE C.V.",25.70155,-100.1302,21.29,,
2104,"ESTACION RAEL, S. DE R.L. DE C.V.",32.51104,-116.9663,20.99,24.99,23.19
2105,"GRUPO OCTANO, S.A. DE C.V.",21.54249,-105.2828,23.99,25.99,25.29
2106,ESTACION DE SERVICIO AUTOMOTRIZ DEL NORTE SA DE CV,21.91625,-102.2924,22.57,25.19,
2107,"SERVICIO CIBOLA, S.A. DE C.V.",29.30929,-100.9351,19.4,22.49,
2108,"PETROMAX, S.A. DE C.V.",25.53419,-103.3228,22.29,,
2109,MULTISERVICIOS SIGAS S.A. DE C.V.,22.14957,-102.4106,22.95,,24.99
2110,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",25.73669,-109.0138,24.15,,
2111,"PETROMAX, S.A. DE C.V.",26.04917,-98.38633,18.19,,
2112,"Servicio Vega Atizapan, S.A. de C.V.",19.55827,-99.25086,22.69,24.99,24.59
2113,"ESTACION RAEL, S. DE R.L. DE C.V.",32.50455,-116.977,20.99,24.99,23.39
2114,"PETROMAX, S.A. DE C.V.",25.72328,-100.1915,22.49,,
2115,"ESTACION RAMOS, S.A. DE C.V.",25.52635,-100.941,23.15,,
2116,"PETROMAX, S.A. DE C.V.",25.85833,-97.53786,17.99,,
2117,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",21.12003,-101.6691,21.29,24.99,
2118,"GRUPO OCTANO, S.A. DE C.V.",19.90187,-100.7924,23.28,25.44,24.94
2119,"PETROMAX, S.A. DE C.V.",25.64484,-100.1696,21.19,,
2120,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",31.27435,-110.93,18.79,22.99,
2121,"PETROMAX, S.A. DE C.V.",25.67366,-100.3682,24.09,25.69,
2122,"PETROMAX, S.A. DE C.V.",25.71746,-100.1685,24.09,25.69,
2123,SERVICIO DEL CENTRO HIDALGO SA DE CV ,20.94723,-101.4349,23.09,,
2124,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",32.53289,-117.0602,21.49,24.99,
2125,AMC COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,26.91485,-101.4206,21.96,,
2126,"SERVICIO RAMA, S.A. DE C.V.",28.70405,-100.5448,17.99,21.09,
2127,"PETROMAX, S.A. DE C.V.",25.81873,-100.2944,24.09,25.69,
2128,Servicio Ravello S.A de C.V.,32.49886,-116.917,21.09,,22.39
2129,"ESTACION RAEL, S. DE R.L. DE C.V.",32.63718,-115.3992,21.49,23.99,23.49
2130,"PETROMAX, S.A. DE C.V.",28.65146,-106.0694,21.99,,
2131,"INMOBILIARIA ANADECA, S.A. DE C.V.",32.51353,-117.1202,22.59,24.99,
2132,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",25.81053,-109.0028,24.15,,
2133,MARA ESTACION DE SERVICIOS SA DE CV,21.89202,-102.2631,22.63,,
2134,"GRUPO OCTANO, S.A. DE C.V.",21.49442,-104.8968,22.49,,
2135,SERVICIO OROZCO SA DE CV,23.82137,-99.12276,22.79,24.69,
2136,Servicio Puerta de Hierro S.A. de C.V.,19.25796,-103.7087,22.49,,
2137,"Gasolinería Real Madeira, S.A. de C.V.",19.57863,-99.02091,22.29,24.79,24.49
2138,"PETROMAX, S.A. DE C.V.",25.43487,-100.9133,22.49,,
2139,"PETROMAX, S.A. DE C.V.",26.06835,-98.31638,18.19,,
2140,"Inmobiliaria Socor, S.A. de C.V.",19.71715,-99.13939,22.69,23.69,23.99
2141,GRUPO EMPRESARIAL CACHANILLA SA DE CV,32.59509,-115.5029,21.24,,
2142,"Gasolinería Itálica, S.A. de C.V.",19.53231,-99.2491,22.49,24.49,24.49
2143,"Super Servicio Cumbre, S.A. de C.V.",18.90457,-99.21558,21.99,23.99,24.19
2144,ESTACIONES DE SERVICIO CAMINOS DE GUANAJUATO SA CV,21.16531,-100.9016,22.85,,
2145,"PETROMAX, S.A. DE C.V.",25.47064,-100.995,23.89,25.19,
2146,"PETROMAX, S.A. DE C.V.",25.77217,-100.3883,20.99,,
2147,"PETROMAX, S.A. DE C.V.",25.71573,-100.2403,23.49,,
2148,"PETROMAX, S.A. DE C.V.",25.28464,-100.0302,23.99,,
2149,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",31.28525,-110.9418,18.89,22.99,23.15
2150,"PETROMAX, S.A. DE C.V.",26.04565,-98.39253,18.19,,
2151,"PETROMAX, S.A. DE C.V.",25.48239,-100.9813,23.89,25.19,
2152,"PETROMAX, S.A. DE C.V.",25.71853,-100.2887,22.79,,
2153,"Inmobiliaria RAVS, S.A. de C.V.",19.37504,-99.08196,22.49,24.99,23.99
2154,GASOLINA Y LUBRICANTES MALPASO SA DE CV ,17.18763,-93.56612,22.29,24.39,
2155,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",32.52866,-117.0082,21.99,24.99,
2156,SERVICIOS ENERGETICOS DEL PACIFICO SA DE CV,19.11446,-104.3236,22.28,,
2157,"Gasolinería México - Ajusco 1, S.A. de C.V.",19.2289,-99.19692,22.89,,24.09
2158,"GRUPO OCTANO, S.A. DE C.V.",20.65418,-105.2224,24.39,,
2159,"GRUPO OCTANO, S.A. DE C.V.",20.20225,-101.1592,22.88,25.38,24.64
2160,GRUPO EMPRESARIAL CACHANILLA SA DE CV,32.47077,-114.7834,18.79,,
2161,"PETROMAX, S.A. DE C.V.",25.38848,-100.9898,22.59,,
2162,"PETROMAX, S.A. DE C.V.",25.55805,-103.4574,21.19,20.75,
2163,ESTACION DE SERVICIO TEZONTEPEC S.A. DE C.V.,20.19257,-99.26816,21.09,,22.98
2164,"ESTACION RAEL, S. DE R.L. DE C.V.",32.48362,-116.9314,21.99,24.99,23.29
2165,"Estación de Servicio Cordoba, S.A. de C.V.",18.91205,-99.20078,22.29,,23.99
2166,Becktrop Operadora SA de CV,32.51695,-117.0217,22.39,,
2167,GRUPO EMPRESARIAL CACHANILLA SA DE CV,32.60439,-115.4283,21.09,,
2168,GRUPO GOCALVI SA DE CV,31.77218,-106.5244,17.69,,
2169,"GRUPO OCTANO, S.A. DE C.V.",20.64037,-103.4172,23.74,,
2170,"GRUPO OCTANO, S.A. DE C.V.",19.78714,-101.0983,22.78,25.44,24.94
2171,GRUPO GOCALVI SA DE CV,31.72176,-106.4938,17.69,,
2172,"SERVICIO GENCAR, S.A. DE C.V.",18.64528,-91.8837,21.99,,
2173,GRUPO EMPRESARIAL CACHANILLA SA DE CV,32.55959,-115.3589,21.39,,
2174,GRUPO EMPRESARIAL CACHANILLA SA DE CV,32.56762,-115.3366,21.39,,
2175,"PETROMAX, S.A. DE C.V.",25.59786,-103.4968,22.69,,
2176,"PETROMAX, S.A. DE C.V.",19.47735,-99.23218,22.59,20.06,
2177,"PETROMAX, S.A. DE C.V.",25.73397,-100.174,24.09,,
2178,"PETROMAX, S.A. DE C.V.",25.76927,-100.273,22.99,,
2179,GAS SANFER S. DE R.L. DE C.V.,19.24986,-103.719,22.79,24.79,
2180,"COMBU-EXPRESS, S.A. DE C.V.",21.49188,-104.8626,22.19,24.99,24.39
2181,"PETROMAX, S.A. DE C.V.",25.78579,-100.1586,24.09,25.69,
2182,"Servicio Jacarandas, S.A. de C.V.",19.61462,-99.0181,21.99,22.99,
2183,"PETROMAX, S.A. DE C.V.",26.08213,-98.29991,18.19,,
2184,"GRUPO OCTANO, S.A. DE C.V.",20.69032,-105.2258,24.39,,
2185,MULTISERVICIOS LA PILARICA SA DE CV ,25.74504,-109.0079,24.07,25.13,25.13
2186,"Estación de Servicio Marbella, S.A. de C.V.",19.54896,-99.07384,23.39,,
2187,"PETROMAX, S.A. DE C.V.",26.06836,-98.33501,18.19,,
2188,"Gasolinería Ulises, S.A. de C.V.",19.62737,-99.2403,22.49,24.99,23.99
2189,"ARY SUPER SERVICIOS VI, SA DE CV",25.59699,-103.3994,23.11,,24.95
2190,"PETROMAX, S.A. DE C.V.",19.54947,-99.05198,23.29,,
2191,"Estación de Servicio Cuenca, S.A. de C.V. ",22.254,-97.85314,21.69,,23.79
2192,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",21.15335,-101.6542,22.39,24.99,23.99
2193,DALROM S.A DE C.V.,21.87411,-102.2435,21.99,22.99,24.59
2194,"PETROMAX, S.A. DE C.V.",25.79039,-100.261,24.09,25.69,
2195,COMBUSTIBLES ARCOTETE S.A. DE C.V.,16.73734,-92.60492,22.9,,
2196,"Estación de Servicio la Rioja, S.A. de C.V.",19.82526,-99.08937,21.99,24.69,23.99
2197,"PETROMAX, S.A. DE C.V.",25.44261,-100.9147,23.89,25.19,
2198,"PETROMAX, S.A. DE C.V.",25.67927,-100.4822,23.99,,
2199,SERVICIO SIERRA DE ARTEAGA SA DE CV,25.44026,-100.8774,23.89,,
2200,"DIAZ GAS, S.A. DE C.V.",31.7462,-106.4253,16.65,20.07,
2201,"PETROMAX, S.A. DE C.V.",25.70878,-100.1629,22.99,,
2202,ESTACION TALLERES S.A. DE C.V.,21.15601,-86.88126,23.73,,
2203,"PETROMAX, S.A. DE C.V.",25.71314,-100.3628,24.09,25.69,
2204,"PETROMAX, S.A. DE C.V.",25.66576,-100.2664,22.99,,
2205,"GRUPO LONOR, S.A. DE C.V.  E11919",15.8336,-91.96599,23.49,,
2206,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",21.07652,-101.6518,22.29,24.99,23.99
2207,"GRUPO OCTANO, S.A. DE C.V.",19.80471,-104.2044,23.99,,
2208,"GRUPO OCTANO, S.A. DE C.V.",21.49595,-104.883,23.3,25.99,
2209,GASOLINERAS PABA SA DE CV ,24.12212,-110.2945,22.99,,24.79
2210,SERVICIO GASOL SA DE CV,25.55813,-103.3947,23.29,,
2211,"PETROMAX, S.A. DE C.V.",26.02191,-98.23244,18.19,,
2212,Becktrop Operadora SA de CV,32.5229,-117.0261,22.39,,
2213,"ESTACION AMBAR, S. DE R.L. DE C.V.",32.49483,-116.924,20.99,24.99,21.99
2214,"Estación de Servicio Venta de Carpio, S.A. de C.V.",19.6214,-99.00452,21.99,,24.29
2215,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",25.78968,-109.0119,24.15,,
2216,GASOLINERAS PABA SA DE CV ,24.14254,-110.314,22.99,24.99,24.39
2217,"PETROMAX, S.A. DE C.V.",25.76277,-100.4024,22.99,,
2218,ENERGETICOS Y SERVICIOS OCOZOCOAUTLA  SA DE CV ,14.91567,-92.34282,21.84,23.24,
2219,"PETROMAX, S.A. DE C.V.",25.73068,-100.253,24.09,,
2220,APOYOS Y SUMIN.COMERCIALES E INDUST. S.A. DE C.V. ,32.52634,-117.0852,21.49,24.99,23.29
2221,GRUPO EMPRESARIAL CACHANILLA SA DE CV,32.65948,-115.3744,21.49,,
2222,GRUPO EMPRESARIAL CACHANILLA SA DE CV,32.59562,-115.4325,21.19,,
2223,"ESTACION CUCAPAH, S.A. DE C.V.",32.51322,-116.8796,20.29,24.99,23.29
2224,"PETROMAX, S.A. DE C.V.",25.82103,-100.264,22.99,,
2225,"ESTACION GRUGAS, S. DE R.L. DE C.V.",32.53901,-116.9147,21.99,24.99,23.25
2226,DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS SA DE CV ,16.08285,-90.63845,21.6,,
2227,"PETROMAX, S.A. DE C.V.",25.48155,-100.9835,23.89,25.19,
2228,"PETROMAX, S.A. DE C.V.",25.78637,-100.3206,22.49,,
2229,PETRO SERVICIOS DEL SURESTE SA DE CV,17.90663,-93.12914,21.99,23.29,23.89
2230,Becktrop Operadora SA de CV,32.65059,-115.4722,21.19,,
2231,GASOLINERIA LAZARO CHANONA BORGES SA DE CV ,16.76469,-93.38528,22.25,24.15,24.05
2232,"PETROMAX, S.A. DE C.V.",25.77943,-100.318,22.49,,
2233,GASOLINERA NORPONIENTE S.A. DE C.V.,21.14857,-86.89943,23.73,,
2234,DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS SA DE CV ,16.50013,-90.65433,21.6,,
2235,"PETROMAX, S.A. DE C.V.",19.6322,-99.0914,22.99,,
2236,"Estación de Servicio Cantabria, S.A. de C.V.",18.88947,-99.19987,21.99,24.29,23.99
2237,"GRUPO OCTANO, S.A. DE C.V.",21.0257,-105.2634,24.39,,
2238,GASOLINERA GUASAVE SA DE CV,25.56817,-108.4668,24.11,,
2239,"PETROMAX, S.A. DE C.V.",26.08957,-98.29279,18.19,,
2240,GRUPO EMPRESARIAL CACHANILLA SA DE CV,32.58874,-115.5797,21.39,,
2241,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",25.79292,-109.0046,24.15,,
2242,"SERVICIO JARDINES, S.A. DE C.V. ( ES12369)",20.3788,-90.04852,22.69,,24.19
2243,Gasolinera Colon S.A. de C.V.,20.65207,-103.3658,23.55,,
2244,"PETROMAX, S.A. DE C.V.",25.69688,-100.3575,24.09,25.69,
2245,"GRUPO OCTANO, S.A. DE C.V.",21.47486,-104.8595,23.89,,24.99
2246,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",25.82133,-108.9919,24.15,,
2247,"PETROMAX, S.A. DE C.V.",25.50189,-100.9627,23.89,25.19,
2248,OPERADORA LAS CRUCES SA DE CV,28.70271,-100.5463,17,19.99,
2249,"PETROMAX, S.A. DE C.V.",28.68869,-106.1335,22.59,,
2250,GRUPO GOCALVI SA DE CV,31.72121,-106.4936,17.69,,
2251,Estacion El Encanto S.A. de C.V.,32.56519,-116.6503,21.39,23.99,22.99
2252,GRUPO EMPRESARIAL CACHANILLA SA DE CV,32.59637,-115.483,21.49,,
2253,"Gasolinería Turquesa, S.A. de C.V. ",19.67295,-99.07876,22.99,25.59,
2254,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",25.76621,-108.9903,24.15,,
2255,"PETROMAX, S.A. DE C.V.",25.76333,-100.4128,24.09,25.69,0
2256,"ESTACION RAEL, S. DE R.L. DE C.V.",32.50251,-116.8668,21.99,24.99,21.99
2257,"GRUPO OCTANO, S.A. DE C.V.",20.95066,-105.3483,24.39,,
2258,MULTISERVICIOS LA PILARICA SA DE CV ,25.70819,-108.7157,23.69,,24.97
2259,"DIAZ GAS, S.A. DE C.V.",31.7203,-106.4733,17.65,20.07,
2260,"ESTACION RAEL, S. DE R.L. DE C.V.",32.64334,-115.506,21.19,23.99,22.55
2261,"PETROMAX, S.A. DE C.V.",25.78744,-100.5805,24.09,,
2262,"GRUPO OCTANO, S.A. DE C.V.",19.67717,-101.2223,22.58,25.49,
2263,"PETROMAX, S.A. DE C.V.",25.44611,-100.846,22.99,,
2264,"SERVICIO AG SANTA ROSA, S.A. DE C.V.",27.88953,-101.4273,22.98,,
2265,"ARY SUPER SERVICIOS II, SA DE CV",25.54451,-103.5191,23.08,,24.94
2266,"Gaeli Diesel, S.A. de C.V.",18.65546,-91.82955,21.98,24.98,
2267,"PETROMAX, S.A. DE C.V.",19.47922,-99.10912,23.59,,
2268,"SERVICIO CIBOLA, S.A. DE C.V.",32.53784,-117.0165,20.89,24.99,
2269,COMBUSTIBLES Y REPARACIONES DE CHIAPAS SA DE CV,16.76767,-93.1921,22.6,,
2270,"ESTACION LA VICTORIA, S.A. DE C.V.",32.57238,-116.6227,21.79,,22.49
2271,"PETROMAX, S.A. DE C.V.",25.75637,-100.2961,24.09,,
2272,"Gasolinería Magnolias, S.A. de C.V.",19.37437,-99.09545,22.49,24.99,23.99
2273,OPERADORA DE COMBUSTIBLE SA DE CV,24.1315,-110.2967,22.79,24.99,
2274,"PETROMAX, S.A. DE C.V.",26.00909,-98.27705,18.19,,
2275,"PETROMAX, S.A. DE C.V.",32.51204,-116.9097,20.79,,
2276,MULTISERVICIOS LA PILARICA SA DE CV ,25.8021,-108.9416,24.17,,
2277,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",20.76174,-105.3485,22.99,24.99,25.49
2278,"PETROMAX, S.A. DE C.V.",25.42441,-100.1539,23.59,,
2279,"PETROMAX, S.A. DE C.V.",25.5994,-103.4968,22.69,,
2280,"PETROMAX, S.A. DE C.V.",25.53979,-103.3584,22.29,,
2281,"PETROMAX, S.A. DE C.V.",25.73066,-100.1625,24.09,25.69,
2282,SERVICIO 8 DE ENERO S.A. DE C.V.,26.99841,-101.4921,22.15,,24.85
2283,GASOLINERA EL 27 SA DE CV,23.73274,-99.16292,22.79,24.69,
2284,"PETROMAX, S.A. DE C.V.",25.69145,-100.1952,24.09,25.69,
2285,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",32.66468,-115.4868,20.39,23.99,22.89
2286,"PETROMAX, S.A. DE C.V.",25.67348,-100.3921,24.09,25.69,
2287,"Estación de Servicio Sauvage, S.A. de C.V.",19.61582,-99.02579,21.99,24.89,23.99
2288,"GRUPO OCTANO, S.A. DE C.V.",19.82875,-101.0389,22.78,25.44,24.94
2289,"ESTACION DE SERVICIO PUERTA GRANDE,  S. DE R.L. DE C.V.",32.43441,-116.9525,21.99,24.99,23.39
2290,"PETROMAX, S.A. DE C.V.",25.71714,-100.2357,23.49,,
2291,GASOPRIM SA DE CV,19.2684,-103.7026,22.49,,23.99
2292,"GRUPO OCTANO, S.A. DE C.V.",21.52014,-104.9266,23.89,25.99,24.99
2293,MULTISERVICIOS LA PILARICA SA DE CV ,25.76829,-108.9937,24.17,,
2294,GASOLINERIA LOMALINDA 0194 S.A DE C.V.,19.42066,-99.21804,23.79,,
2295,"GRUPO OCTANO, S.A. DE C.V.",20.76066,-105.3746,23.99,,
2296,"PETROMAX, S.A. DE C.V.",25.47087,-100.9607,22.99,,
2297,ENERGETICOS CERRO DE ORTEGA SA DE CV,18.76095,-103.729,22.58,,
2298,DESARROLLO INTEGRAL OCOZOCOAUTLA SA DE CV ,15.70444,-91.99803,23.76,24.93,
2299,"PETROMAX, S.A. DE C.V.",25.54146,-103.4483,22.99,,
2300,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",32.56567,-116.585,21.99,24.79,22.99
2301,"PETROMAX, S.A. DE C.V.",25.76571,-100.2573,22.99,,
2302,"PETROMAX, S.A. DE C.V.",20.54878,-103.4711,23.39,,
2303,"PETROMAX, S.A. DE C.V.",26.07043,-98.33169,18.19,,
2304,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",32.40604,-116.9668,22.49,,23.25
2305,"GRUPO OCTANO, S.A. DE C.V.",19.70107,-101.1545,22.78,25.49,24.94
2306,GRUPO GOCALVI SA DE CV,31.64773,-106.4634,17.69,,
2307,"SERVICIO CIBOLA, S.A. DE C.V.",32.50862,-116.9861,21.99,24.99,
2308,"PETROMAX, S.A. DE C.V.",31.79353,-116.5928,20.99,,
2309,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",32.49725,-117.0203,20.99,24.99,
2310,"Operadora Santa Elena, S.A. de C.V.",19.2257,-99.2113,23.29,24.99,24.59
2311,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",25.80633,-108.9826,24.15,,
2312,GASOLINERA EL ENCINO S.A. DE C.V,28.44654,-100.7522,21.67,,
2313,"PETROMAX, S.A. DE C.V.",25.45598,-100.9761,23.89,25.19,
2314,"PETROMAX, S.A. DE C.V.",25.68477,-100.4806,23.79,,
2315,GRUPO EMPRESARIAL CACHANILLA SA DE CV,32.58577,-115.4363,21.19,,22.99
2316,"Servicio la Guitarra, S.A. de C.V.",19.44123,-99.24943,23.69,25.89,
2317,"ESTACION GRUGAS, S. DE R.L. DE C.V.",32.46825,-116.9871,21.99,24.99,23.19
2318,"PETROMAX, S.A. DE C.V.",25.73667,-100.2444,24.09,,
2319,"SEVEN SERVICE, S.A DE C.V.",19.4423,-99.16319,22.89,,
2320,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",25.42712,-100.9758,22.99,25.49,
2321,"Servicio Calatrava, S.A. de C.V.",19.66663,-99.13498,23.29,,24.49
2322,"GRUPO OCTANO, S.A. DE C.V.",21.50385,-104.8867,23.89,25.99,24.99
2323,"GRUPO OCTANO, S.A. DE C.V.",22.00695,-105.2269,23.89,,25.19
2324,"PETROMAX, S.A. DE C.V.",32.49222,-116.9343,20.99,,
2325,"PETROMAX, S.A. DE C.V.",19.54421,-99.20648,21.99,,
2326,"ESTACION RAEL, S. DE R.L. DE C.V.",32.63718,-115.4716,21.89,24.09,23.69
2327,"Gasolinería Rubí, S.A. de C.V.",18.83838,-99.23139,22.19,24.09,
2328,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",32.52137,-116.9867,21.59,,
2329,"PETROMAX, S.A. DE C.V.",25.76576,-100.3987,20.99,,
2330,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",25.77709,-108.9852,24.15,,
2331,"GRUPO OCTANO, S.A. DE C.V.",20.70532,-103.4485,23.84,25.99,
2332,"PETROMAX, S.A. DE C.V.",25.53799,-100.219,24.09,25.69,
2333,"PETROMAX, S.A. DE C.V.",26.05507,-98.32028,18.19,,
2334,ESTACION DE SERVICIO CORCELES SA DE CV,19.36607,-99.23235,23.29,,
2335,SERVICIO GASOLINERO EL PRIMO S.A. DE C.V.,24.05557,-104.6564,23.39,,
2336,"PETROMAX, S.A. DE C.V.",25.44036,-100.8894,23.69,,24.39
2337,"PETROMAX, S.A. DE C.V.",25.424,-100.9894,21.99,,
2338,"PETROMAX, S.A. DE C.V.",25.69789,-100.4674,21.99,,
2339,"COMERCIALIZADORA DE COMBUSTIBLES DE CHIAPAS, SA DE CV",16.80658,-92.90816,23.98,24.98,
2340,"PETROMAX, S.A. DE C.V.",26.05218,-98.29163,18.19,,
2341,"PETROMAX, S.A. DE C.V.",26.05263,-98.37744,18.19,,
2342,"Servicio Geyser, S.A. de C.V.",19.36047,-99.03545,22.99,23.99,
2343,"PETROMAX, S.A. DE C.V.",25.75716,-100.2869,22.99,,
